,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Label
12637,172.16.0.1-192.168.10.50-44380-80-6,172.16.0.1,44380.0,192.168.10.50,80.0,6.0,6/7/2017 9:15,Web Attack – Brute Force
12643,172.16.0.1-192.168.10.50-44382-80-6,172.16.0.1,44382.0,192.168.10.50,80.0,6.0,6/7/2017 9:15,Web Attack – Brute Force
12700,172.16.0.1-192.168.10.50-44380-80-6,172.16.0.1,44380.0,192.168.10.50,80.0,6.0,6/7/2017 9:16,Web Attack – Brute Force
12712,172.16.0.1-192.168.10.50-44384-80-6,172.16.0.1,44384.0,192.168.10.50,80.0,6.0,6/7/2017 9:16,Web Attack – Brute Force
12791,172.16.0.1-192.168.10.50-44386-80-6,172.16.0.1,44386.0,192.168.10.50,80.0,6.0,6/7/2017 9:16,Web Attack – Brute Force
15236,172.16.0.1-192.168.10.50-44388-80-6,172.16.0.1,44388.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,Web Attack – Brute Force
15237,172.16.0.1-192.168.10.50-44390-80-6,172.16.0.1,44390.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,Web Attack – Brute Force
15238,172.16.0.1-192.168.10.50-44392-80-6,172.16.0.1,44392.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,Web Attack – Brute Force
15306,172.16.0.1-192.168.10.50-44390-80-6,172.16.0.1,44390.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,Web Attack – Brute Force
16119,172.16.0.1-192.168.10.50-44466-80-6,172.16.0.1,44466.0,192.168.10.50,80.0,6.0,6/7/2017 9:19,Web Attack – Brute Force
16120,172.16.0.1-192.168.10.50-44464-80-6,172.16.0.1,44464.0,192.168.10.50,80.0,6.0,6/7/2017 9:19,Web Attack – Brute Force
16125,172.16.0.1-192.168.10.50-44486-80-6,172.16.0.1,44486.0,192.168.10.50,80.0,6.0,6/7/2017 9:19,Web Attack – Brute Force
16126,172.16.0.1-192.168.10.50-44484-80-6,172.16.0.1,44484.0,192.168.10.50,80.0,6.0,6/7/2017 9:19,Web Attack – Brute Force
18582,172.16.0.1-192.168.10.50-44654-80-6,172.16.0.1,44654.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18583,172.16.0.1-192.168.10.50-44656-80-6,172.16.0.1,44656.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18584,172.16.0.1-192.168.10.50-44636-80-6,172.16.0.1,44636.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18585,172.16.0.1-192.168.10.50-44634-80-6,172.16.0.1,44634.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18626,172.16.0.1-192.168.10.50-44734-80-6,172.16.0.1,44734.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18635,172.16.0.1-192.168.10.50-44754-80-6,172.16.0.1,44754.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18651,172.16.0.1-192.168.10.50-44774-80-6,172.16.0.1,44774.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18661,172.16.0.1-192.168.10.50-44794-80-6,172.16.0.1,44794.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18668,172.16.0.1-192.168.10.50-44814-80-6,172.16.0.1,44814.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18787,172.16.0.1-192.168.10.50-44884-80-6,172.16.0.1,44884.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18829,172.16.0.1-192.168.10.50-44906-80-6,172.16.0.1,44906.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18830,172.16.0.1-192.168.10.50-44904-80-6,172.16.0.1,44904.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18831,172.16.0.1-192.168.10.50-44886-80-6,172.16.0.1,44886.0,192.168.10.50,80.0,6.0,6/7/2017 9:21,Web Attack – Brute Force
18991,172.16.0.1-192.168.10.50-44984-80-6,172.16.0.1,44984.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
18993,172.16.0.1-192.168.10.50-44886-80-6,172.16.0.1,44886.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
18999,172.16.0.1-192.168.10.50-45004-80-6,172.16.0.1,45004.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19004,172.16.0.1-192.168.10.50-45024-80-6,172.16.0.1,45024.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19018,172.16.0.1-192.168.10.50-45062-80-6,172.16.0.1,45062.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19037,172.16.0.1-192.168.10.50-45082-80-6,172.16.0.1,45082.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19090,172.16.0.1-192.168.10.50-45120-80-6,172.16.0.1,45120.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19104,172.16.0.1-192.168.10.50-45140-80-6,172.16.0.1,45140.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19122,172.16.0.1-192.168.10.50-45160-80-6,172.16.0.1,45160.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19142,172.16.0.1-192.168.10.50-45198-80-6,172.16.0.1,45198.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19151,172.16.0.1-192.168.10.50-45218-80-6,172.16.0.1,45218.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19154,172.16.0.1-192.168.10.50-45238-80-6,172.16.0.1,45238.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19180,172.16.0.1-192.168.10.50-45276-80-6,172.16.0.1,45276.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19190,172.16.0.1-192.168.10.50-45296-80-6,172.16.0.1,45296.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19212,172.16.0.1-192.168.10.50-45334-80-6,172.16.0.1,45334.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
